,calibrate_trial,perturbed,avg_residual,sensor,col_trial
152,L3CX_R2_P1,Perturbed,2.2387934131241836,VL53L3CX,R2_P1
153,L3CX_R1_P1,Solution,1.303441866129507,VL53L3CX,R1_P1
154,L3CX_R1_P1,Perturbed,5.880788106767913,VL53L3CX,R1_P1
155,L3CX_R1_P1,Perturbed,4.755704665292857,VL53L3CX,R1_P1
156,L3CX_R1_P1,Perturbed,3.968231859939275,VL53L3CX,R1_P1
157,L3CX_R1_P1,Perturbed,3.2680379798513783,VL53L3CX,R1_P1
158,L3CX_R1_P1,Perturbed,9.276349961096104,VL53L3CX,R1_P1
159,L3CX_R1_P1,Perturbed,5.857119772061778,VL53L3CX,R1_P1
160,L3CX_R1_P1,Perturbed,7.33014253785387,VL53L3CX,R1_P1
161,L3CX_R1_P1,Perturbed,4.9857537594233525,VL53L3CX,R1_P1
162,L3CX_R1_P1,Perturbed,3.2692104487018945,VL53L3CX,R1_P1
163,L3CX_R1_P1,Perturbed,4.1452550657639975,VL53L3CX,R1_P1
164,L3CX_R1_P1,Perturbed,6.424788302136747,VL53L3CX,R1_P1
165,L3CX_R1_P1,Perturbed,3.626036666295679,VL53L3CX,R1_P1
166,L3CX_R1_P1,Perturbed,1.4759277897906127,VL53L3CX,R1_P1
167,L3CX_R1_P1,Perturbed,1.8194097910887248,VL53L3CX,R1_P1
168,L3CX_R1_P1,Perturbed,8.560876776210852,VL53L3CX,R1_P1
169,L3CX_R1_P1,Perturbed,10.14714421964054,VL53L3CX,R1_P1
170,L3CX_R1_P1,Perturbed,2.8226460330625223,VL53L3CX,R1_P1
171,L3CX_R1_P1,Perturbed,2.517231105838313,VL53L3CX,R1_P1
172,L3CX_R1_P1,Perturbed,8.89986448471064,VL53L3CX,R1_P1
173,L3CX_R1_P1,Perturbed,8.845997964138734,VL53L3CX,R1_P1
174,L3CX_R1_P1,Perturbed,1.761148362562004,VL53L3CX,R1_P1
175,L3CX_R1_P1,Perturbed,2.9724359076637206,VL53L3CX,R1_P1
176,L3CX_R1_P1,Perturbed,8.935577046822582,VL53L3CX,R1_P1
177,L3CX_R1_P1,Perturbed,6.5969565717387235,VL53L3CX,R1_P1
178,L3CX_R1_P1,Perturbed,7.901850375111683,VL53L3CX,R1_P1
179,L3CX_R1_P1,Perturbed,3.509022240847463,VL53L3CX,R1_P1
180,L3CX_R1_P1,Perturbed,3.7065912588633445,VL53L3CX,R1_P1
181,L3CX_R1_P1,Perturbed,3.3186201844549537,VL53L3CX,R1_P1
182,L3CX_R1_P1,Perturbed,5.668769742525154,VL53L3CX,R1_P1
183,L3CX_R1_P1,Perturbed,5.734540387024854,VL53L3CX,R1_P1
184,L3CX_R1_P1,Perturbed,10.12791545786249,VL53L3CX,R1_P1
185,L3CX_R1_P1,Perturbed,7.089692551683523,VL53L3CX,R1_P1
186,L3CX_R1_P1,Perturbed,5.189711145932755,VL53L3CX,R1_P1
187,L3CX_R1_P1,Perturbed,2.251780563154538,VL53L3CX,R1_P1
188,L3CX_R1_P1,Perturbed,5.624475520922226,VL53L3CX,R1_P1
189,L3CX_R1_P1,Perturbed,4.294527374981907,VL53L3CX,R1_P1
190,L3CX_R1_P1,Perturbed,7.083608800078694,VL53L3CX,R1_P1
191,L3CX_R1_P1,Perturbed,8.146660384731872,VL53L3CX,R1_P1
192,L3CX_R1_P1,Perturbed,4.78626778421619,VL53L3CX,R1_P1
193,L3CX_R1_P1,Perturbed,4.7103063342082505,VL53L3CX,R1_P1
194,L3CX_R1_P1,Perturbed,5.994173736048275,VL53L3CX,R1_P1
195,L3CX_R1_P1,Perturbed,9.029884733640461,VL53L3CX,R1_P1
196,L3CX_R1_P1,Perturbed,2.1516302600880066,VL53L3CX,R1_P1
197,L3CX_R1_P1,Perturbed,4.168742160152153,VL53L3CX,R1_P1
198,L3CX_R1_P1,Perturbed,1.5809314862316992,VL53L3CX,R1_P1
199,L3CX_R1_P1,Perturbed,3.433264016175132,VL53L3CX,R1_P1
200,L3CX_R1_P1,Perturbed,9.105902630981971,VL53L3CX,R1_P1
201,L3CX_R1_P1,Perturbed,6.917829055582039,VL53L3CX,R1_P1
202,L3CX_R1_P1,Perturbed,6.882172171350998,VL53L3CX,R1_P1
203,L3CX_R1_P1,Perturbed,10.290972585417093,VL53L3CX,R1_P1
204,L3CX_R1_P2,Solution,0.97436557317848,VL53L3CX,R1_P2
205,L3CX_R1_P2,Perturbed,2.4239153066673276,VL53L3CX,R1_P2
206,L3CX_R1_P2,Perturbed,1.84375440042034,VL53L3CX,R1_P2
207,L3CX_R1_P2,Perturbed,4.0876260896316525,VL53L3CX,R1_P2
208,L3CX_R1_P2,Perturbed,4.390155746001715,VL53L3CX,R1_P2
209,L3CX_R1_P2,Perturbed,1.4153631837045317,VL53L3CX,R1_P2
210,L3CX_R1_P2,Perturbed,0.968516572008698,VL53L3CX,R1_P2
211,L3CX_R1_P2,Perturbed,8.209004893879841,VL53L3CX,R1_P2
212,L3CX_R1_P2,Perturbed,6.840944885142563,VL53L3CX,R1_P2
213,L3CX_R1_P2,Perturbed,7.154638602467887,VL53L3CX,R1_P2
214,L3CX_R1_P2,Perturbed,4.76962470708045,VL53L3CX,R1_P2
215,L3CX_R1_P2,Perturbed,4.5708237954404725,VL53L3CX,R1_P2
216,L3CX_R1_P2,Perturbed,6.217105814976012,VL53L3CX,R1_P2
217,L3CX_R1_P2,Perturbed,4.510222804999578,VL53L3CX,R1_P2
218,L3CX_R1_P2,Perturbed,3.313208742281469,VL53L3CX,R1_P2
219,L3CX_R1_P2,Perturbed,2.674071936492291,VL53L3CX,R1_P2
220,L3CX_R1_P2,Perturbed,2.258087188569938,VL53L3CX,R1_P2
221,L3CX_R1_P2,Perturbed,6.007468589476198,VL53L3CX,R1_P2
222,L3CX_R1_P2,Perturbed,7.7183259881773445,VL53L3CX,R1_P2
223,L3CX_R1_P2,Perturbed,4.621385324669447,VL53L3CX,R1_P2
224,L3CX_R1_P2,Perturbed,4.234948550361934,VL53L3CX,R1_P2
225,L3CX_R1_P2,Perturbed,6.392464220923263,VL53L3CX,R1_P2
226,L3CX_R1_P2,Perturbed,6.463403360553971,VL53L3CX,R1_P2
227,L3CX_R1_P2,Perturbed,2.6927401505173982,VL53L3CX,R1_P2
228,L3CX_R1_P2,Perturbed,1.4775196051139723,VL53L3CX,R1_P2
229,L3CX_R1_P2,Perturbed,2.631863957826065,VL53L3CX,R1_P2
230,L3CX_R1_P2,Perturbed,3.4143728177338217,VL53L3CX,R1_P2
231,L3CX_R1_P2,Perturbed,7.292343837592784,VL53L3CX,R1_P2
232,L3CX_R1_P2,Perturbed,8.725758116015145,VL53L3CX,R1_P2
233,L3CX_R1_P2,Perturbed,5.504446577949349,VL53L3CX,R1_P2
234,L3CX_R1_P2,Perturbed,6.0046030989496595,VL53L3CX,R1_P2
235,L3CX_R1_P2,Perturbed,6.01854439113675,VL53L3CX,R1_P2
236,L3CX_R1_P2,Perturbed,7.841136358817914,VL53L3CX,R1_P2
237,L3CX_R1_P2,Perturbed,9.067076563364322,VL53L3CX,R1_P2
238,L3CX_R1_P2,Perturbed,7.2779385818193925,VL53L3CX,R1_P2
239,L3CX_R1_P2,Perturbed,8.063236304095591,VL53L3CX,R1_P2
240,L3CX_R1_P2,Perturbed,5.605640124538955,VL53L3CX,R1_P2
241,L3CX_R1_P2,Perturbed,1.2296243476140418,VL53L3CX,R1_P2
242,L3CX_R1_P2,Perturbed,1.6044369281435162,VL53L3CX,R1_P2
243,L3CX_R1_P2,Perturbed,5.417404838861213,VL53L3CX,R1_P2
244,L3CX_R1_P2,Perturbed,2.2481740999629607,VL53L3CX,R1_P2
245,L3CX_R1_P2,Perturbed,1.6761050698457194,VL53L3CX,R1_P2
246,L3CX_R1_P2,Perturbed,1.2317375738764322,VL53L3CX,R1_P2
247,L3CX_R1_P2,Perturbed,7.132506921680062,VL53L3CX,R1_P2
248,L3CX_R1_P2,Perturbed,37.38389434815811,VL53L3CX,R1_P2
249,L3CX_R1_P2,Perturbed,10.09981816587345,VL53L3CX,R1_P2
250,L3CX_R1_P2,Perturbed,7.269463686346342,VL53L3CX,R1_P2
251,L3CX_R1_P2,Perturbed,2.7143475988322954,VL53L3CX,R1_P2
252,L3CX_R1_P2,Perturbed,2.8818720964720383,VL53L3CX,R1_P2
253,L3CX_R1_P2,Perturbed,3.8294604157180814,VL53L3CX,R1_P2
254,L3CX_R1_P2,Perturbed,4.418429869091867,VL53L3CX,R1_P2
255,L3CX_W1_P2,Solution,0.7735903976522943,VL53L3CX,W1_P2
256,L3CX_W1_P2,Perturbed,2.6399293862942996,VL53L3CX,W1_P2
257,L3CX_W1_P2,Perturbed,2.423262677967583,VL53L3CX,W1_P2
258,L3CX_W1_P2,Perturbed,2.376568629835264,VL53L3CX,W1_P2
259,L3CX_W1_P2,Perturbed,5.054642670609836,VL53L3CX,W1_P2
260,L3CX_W1_P2,Perturbed,5.82337810609823,VL53L3CX,W1_P2
261,L3CX_W1_P2,Perturbed,5.5136372157926665,VL53L3CX,W1_P2
262,L3CX_W1_P2,Perturbed,2.4177070681584305,VL53L3CX,W1_P2
263,L3CX_W1_P2,Perturbed,4.8908606474158836,VL53L3CX,W1_P2
264,L3CX_W1_P2,Perturbed,4.340073095942588,VL53L3CX,W1_P2
265,L3CX_W1_P2,Perturbed,3.2856229939140533,VL53L3CX,W1_P2
266,L3CX_W1_P2,Perturbed,4.363101126793033,VL53L3CX,W1_P2
267,L3CX_W1_P2,Perturbed,4.900453460394261,VL53L3CX,W1_P2
268,L3CX_W1_P2,Perturbed,3.3263900214249476,VL53L3CX,W1_P2
269,L3CX_W1_P2,Perturbed,3.6439518214854467,VL53L3CX,W1_P2
270,L3CX_W1_P2,Perturbed,2.0624322280616822,VL53L3CX,W1_P2
271,L3CX_W1_P2,Perturbed,3.315659931544854,VL53L3CX,W1_P2
272,L3CX_W1_P2,Perturbed,2.854786873147076,VL53L3CX,W1_P2
273,L3CX_W1_P2,Perturbed,2.6414495396776076,VL53L3CX,W1_P2
274,L3CX_W1_P2,Perturbed,3.7874079221672297,VL53L3CX,W1_P2
275,L3CX_W1_P2,Perturbed,4.447869823622491,VL53L3CX,W1_P2
276,L3CX_W1_P2,Perturbed,6.161165747274367,VL53L3CX,W1_P2
