,noise,p_error,u_error,a_error,d_error
137,5,3.282047242205919,0.022187740973375385,179.90401931583133,1000.0
138,5,3.7080548956657324,0.016920632459113887,179.9386956752079,999.2471816117533
139,5,1.3217083755143504,0.06253687941816737,0.04931672660742894,0.0
140,5,5.390998902929496,0.13886636372038805,179.8828916054659,998.7791478232198
141,5,3.080687092561491,0.12902665480633133,179.87219369759154,999.2380294532181
142,5,3.174790836269884,0.11674761351360037,179.88411619804964,999.6872646569203
143,5,0.8850813457201848,0.05253545974453774,179.91178353467106,1000.0
144,5,3.098469409015236,0.041972468827527566,179.89688537740116,1000.0
145,5,1.9786339340668708,0.035039018473932204,179.9762540753678,999.2519459967859
146,5,2.799320648957255,0.033775922805928234,179.94266154868302,1000.0
147,5,4.716292445806666,0.07338917366811612,0.06611286851587032,0.0
148,5,1.8878088967092004,0.04609441621822028,179.9663101207726,1000.0
149,5,3.2487053167414355,0.05782486589595831,179.99221551249718,1000.0
150,5,2.2062849141326235,0.09376325650023987,0.08751550243581797,0.0
151,5,2.7601833057962253,0.041893400904565684,179.97078061689592,1000.0
152,5,7.835557561696356,0.14570265257181952,179.94980556482443,998.4459874857725
153,5,3.03628121432586,0.13036374985728585,179.92485503826236,1000.0
154,5,4.926139526888415,0.10352844272842936,179.871713036774,999.6438300827399
155,5,2.391958839438796,0.040284667147483105,0.013622434238901755,0.0
156,5,3.425971640354651,0.031234048046755634,179.8713205101518,999.1947534628036
157,5,2.5290936276239737,0.0733725215930117,0.09797793156971107,0.2827747802011231
158,5,6.587135098868988,0.12367143152296749,0.05299749949690664,0.0
159,5,6.491683148741722,0.1603353048191746,179.94655151694667,999.9433542120111
160,5,1.369191985626519,0.06258828856081629,0.06906658645419332,0.0
161,5,2.938658152552357,0.09655436917869464,0.08483753099247462,0.0
162,5,6.160298190456052,0.11475595292353946,0.0940210961173647,0.29134089664194107
163,5,0.6920976691619473,0.06881640433188252,0.06960237534380864,0.05912821501709686
164,5,3.446511249106486,0.0965933761744515,0.030015878269650815,0.4682955870712817
165,5,2.5338023990155567,0.07282664686069816,179.98112239639767,999.9784626080963
166,5,6.587135098868988,0.12367143152296749,0.05299749949690664,0.0
167,5,5.756142373418477,0.17036218146634996,0.07446675775470096,0.7214757843258326
168,5,1.0612472723580688,0.04607748435003474,179.97157500906476,1000.0
169,5,3.3879960408676584,0.09839703213374623,179.992006598455,1000.0
170,5,6.4622361744455965,0.14533191680209812,0.10032940061923817,5.684341886080802e-14
171,5,5.435206635186423,0.07856155735020443,179.84818894428648,999.6972927970587
172,5,9.195718545501034,0.18170558110237253,179.84045728041085,1000.0
173,5,4.626771511304531,0.2446417077121281,179.8628177938227,1000.0
174,5,1.1805067855665705,0.03139872600952147,0.03861002583061012,0.0
175,5,2.6340642455665906,0.06622615889965527,179.95339278735327,1000.0
176,5,1.8478116428388371,0.046114386237280904,0.032234852456063515,0.0
177,5,3.429014503606618,0.05372099447811216,0.03836960506722117,0.0
178,5,2.365665186074441,0.1072001686649421,179.94360441022815,1000.0
179,5,2.662096563529209,0.07849477413725477,0.046265448517829454,0.0
180,5,1.9171088108307341,0.05871560267136779,179.97348724122355,1000.0
181,5,3.497443224740127,0.07403792789380827,0.026525135635309727,0.4230896099734309
182,5,2.202096009115558,0.03105668706449711,0.01739543259470481,0.0
183,5,4.315858432332461,0.13483121102544413,0.16812557546191015,0.0
184,5,1.7738240237554843,0.035483714780695924,179.95351550321502,999.2357063881454
185,5,4.575475980945067,0.06731446416502412,0.06730016087095834,1.2931290251403311
186,5,3.5067642585601755,0.08158976401305626,179.9718707844116,1000.0
